{X 89.8209, Y 52.5956, Z -326.5920, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 83.7186, Z -326.9554, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 86.8107, Z -327.6223, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 89.4025, Z -329.4357, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 90.9770, Z -331.8333, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 91.6046, Z -334.6321, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 92.0419, Z -346.0000, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y 90.0499, Z -348.0000, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -134.3288, Z -347.9880, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -136.0989, Z -345.7891, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -133.8101, Z -324.9915, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -133.5797, Z -323.9539, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -133.1352, Z -322.9885, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -132.3698, Z -322.0077, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -131.3859, Z -321.2463, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -130.4460, Z -320.8149, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -129.4376, Z -320.5861, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -107.1280, Z -318.8794, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -84.7535, Z -318.9956, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -82.5220, Z -318.4991, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -80.8825, Z -316.9058, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -80.0191, Z -315.4990, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -79.7804, Z -313.8657, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -79.7792, Z -296.3047, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -79.4492, Z -293.7728, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -78.4889, Z -291.4070, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -78.1515, Z -290.8518, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -77.7787, Z -290.3197, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -75.5996, Z -288.1888, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -72.8798, Z -286.8132, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -70.8466, Z -285.3534, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -70.0409, Z -282.9836, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -69.8486, Z -272.0145, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -69.1665, Z -268.9330, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -67.3456, Z -266.3550, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -66.0473, Z -265.3582, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -64.5733, Z -264.6465, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -58.5253, Z -263.5198, A 0, B 0,  C 0}, grFeedrate 127.32}
{X 89.8209, Y -52.4330, Z -264.3748, A 0, B 0,  C 0}, grFeedrate 127.32}
